platName	amount	bidderNum	borrowerNum	incomeRate	loanPeriod	totalLoanNum	regCapital	fullloanTime	stayStillOfTotal	netInflowOfThirty	top10DueInProportion	avgBidMoney	top10StayStillProportion	avgBorrowMoney	timeOperation	developZhishu
陆金所	231122.96	37156	73014	6.96	20.48	73014	83667	0	11702613.15	45711.47	5.25	6.22	0.01	3.17	60	1
红岭创投	26760.62	12874	2752	6.4	1.06	10169	6000	14.61	1538178.83	1142.72	1.6	2.08	12.42	9.72	94	35
微贷网	23807.29	11051	3292	8.37	2.66	3307	12195	1.27	1352275.78	4481.33	4.29	2.15	0.5	7.23	66	5
团贷网	22295.25	21630	1199	10.16	6.17	3669	10000	73.66	1848808.4	9003.86	1.63	1.03	2.6	18.59	54	17
PPmoney	15242.86	40416	15484	8.96	6.89	17757	15000	5.22	959261.89	10726.66	0.78	0.38	1.19	0.98	49	16
鑫合汇	15174.44	6555	32	8.19	3.3	4408	5313	13.09	441896.42	7032.39	5.91	2.31	67.75	474.2	37	48
拍拍贷	14926.71	19985	56898	17.83	11.52	58425	10000	1.37	1463202.42	9530.88	20.48	0.75	0.07	0.26	115	6
口袋理财	9263.26	22167	43747	8.36	1.92	164581	5000	5.36	432721.17	4169.83	1.07	0.42	8.75	0.21	25	30
爱钱进	9164.15	51256	75731	12.08	31.05	114934	20000	0.19	1421317.55	4961.81	7.55	0.18	0.02	0.12	32	8
宜人贷	9011.18	66141	1461	11.68	33.06	1461	3000	1.32	2883232.12	6399.62	0.96	0.14	0.02	6.17	54	2
有利网	8983.11	57112	5521	10.29	24.8	28535	5000	0.02	1088010.21	5645.31	0.8	0.16	0.2	1.63	47	10
你我贷	8316.32	45451	27718	11.25	21.19	72059	10000	1.62	1654923.5	851.38	7.44	0.18	0.74	0.3	67	26
麻袋理财	8173.13	12098	22742	8.03	18.5	45720	11000	1.96	565935.36	4748.12	6.15	0.68	0.09	0.36	25	15
金票通	7388.54	675	10	5.21	8.38	37	3000	98366.76	943231.79	6163.76	89.06	10.95	13.03	738.85	28	0
小牛在线	6685.72	4365	351	10.88	7.19	354	10300	23.28	1125275.29	-3008.03	0.68	1.53	0.42	19.05	43	0
信和大金融	6642.61	605	212	8.02	6.16	212	5000	0	920261.15	3955.49	3.12	10.98	2.99	31.33	33	0
投哪网	6579.6	16428	799	10.42	9.9	801	10000	0.02	847411.13	4452.51	10.73	0.4	0.35	8.23	56	11
民贷天下	6573.6	7637	5159	6.74	3.03	5216	20000	11.26	183412.01	-260.21	3.45	0.86	74.95	1.27	25	23
向上金服	6433.65	3831	56	10.24	2.06	60	10000	522.88	285323.93	1760.78	3.43	1.68	12.81	114.89	41	55
东方汇	6263	861	62	4.99	2.42	62	20000	478.39	255074.49	-743.5	12.66	7.27	8.27	101.02	31	22
翼龙贷	6202.05	3111	30	9.76	7.31	30	10000	42.16	3086645.28	-80.05	3.4	1.99	0.47	206.74	69	13
金信网	6041.26	1071	419	9.46	8.07	419	10000	225.28	698822.08	2683.92	1.65	5.64	3.77	14.42	32	72
聚宝匯	5818.2	606	7	7.2	4.95	17	300000	467.2	2686717.74	3589	1.88	9.6	63.73	831.17	30	83
爱投资	5668.61	4486	222	11.89	13.26	612	10000	124.71	843213.59	4209.12	1.65	1.26	70.94	25.53	46	0
宜贷网	4928.59	2452	1020	9.1	4.02	10905	10000	1.3	281792.14	175.19	5.68	2.01	2.6	4.83	36	12
开鑫贷	4890.6	379	13	6.73	14.45	43	14024	231.72	767510.43	-542.4	2.45	12.9	43.67	376.2	49	9
财富中国	4859.7	690	208	9.98	11.99	215	86000	174.58	320116.8	3599.34	3.81	7.04	3.48	23.36	31	0
泰然金融	4742.56	2304	9	9.3	2.91	9	5000	1027.37	51372.28	123.48	23.33	2.06	23.81	526.95	29	0
十六铺金融	4580	429	13	11.06	0.46	13	6000	87.84	54209.45	1602.89	27.65	10.68	33.88	352.31	19	87
温商贷	4372.71	5479	17	10.37	3.75	63	10000	270.91	344879.79	1862.43	2.35	0.8	8.07	257.22	46	51
e路同心	4245.82	13439	132	6.97	1.1	218	20000	4.64	117136.86	2102.56	9.78	0.32	6.76	32.17	24	18
首金网	4234	586	27	8.36	2.3	30	10000	17.09	135493.06	1806.2	10.95	7.23	21.06	156.81	13	56
好贷宝	4122.11	209	28	10.16	1.52	403	2222	3.77	199075.59	1058.14	65.6	19.72	78.65	147.22	38	0
搜易贷	3898.48	4348	532	7	4.18	876	30000	1.16	335221.42	-796.72	9.95	0.9	14.82	7.33	28	7
合拍在线	3808.92	1677	32	10.44	4.82	72	10000	154.54	90754.42	1654.58	6.5	2.27	44.34	119.03	55	69
网利宝	3579.8	1904	15	10.09	2.02	41	5000	417.68	160788.35	1650.99	9.06	1.88	39.43	238.65	29	75
金银猫	3463.62	1726	51	7.58	4.26	67	3000	297.48	162584.18	2769.97	4.38	2.01	23.84	67.91	38	80
点融网	3450.53	20	5967	9.63	14.95	6007	20000	0.01	1172945.54	687.8	99.28	172.53	0.7	0.58	46	3
人人聚财	3375.22	3347	503	10.2	6.7	504	5377	5.51	283521.64	1399.46	11.12	1.01	0.27	6.71	62	25
91旺财	3145.28	996	13	7.5	1.73	37	634	0	140175.79	-372.44	6.09	3.16	15.83	241.94	34	39
易通贷	2951.35	3210	22	13.22	4.77	160	10000	47.6	271236.78	696.74	2.79	0.92	5.47	134.15	46	0
付融宝	2868.71	1589	7010	10.76	7.11	167	11000	54.59	244516.97	1828.86	4.61	1.81	23.99	0.41	38	74
信用宝	2773.62	1048	717	11.95	10.22	1495	6875	25.14	148438.88	1170.12	6.36	2.65	67.48	3.87	44	46
福银票号	2738.24	391	18	4.33	1.51	26	3000	224.82	170374.54	2501.35	17.8	7	51.06	152.12	26	0
人人贷	2729.79	29936	413	10.14	34.62	413	10000	2.71	1411428	2377.95	0.95	0.09	0.05	6.61	75	4
众信金融	2700	528	3	7.37	3.02	3	1000	48.83	361961.39	-1201.88	19.67	5.11	69	900	31	100
紫马财行	2580	565	1	6.31	1.59	12	9999	1369.56	65225.84	-2738.23	9.91	4.57	99.81	2580	23	0
信融财富	2570.55	1325	400	13.46	9.17	437	6904	6.53	253558.6	1022.03	17.96	1.94	28.05	6.43	49	21
小微金融	2550	1384	5	13.23	2.82	51	2000	139.8	94744.15	1910.38	13	1.84	75.25	510	31	0
鹏金所	2536.68	457	112	6.13	3.44	137	67778	41.66	658759.14	444.52	59.94	5.55	17.6	22.65	25	33
金联储	2456.31	1553	17	9.9	2.57	29	10000	0	147267.28	1236.79	4.72	1.58	27.66	144.49	28	62
合时代	2434.99	1418	46	12.95	3.62	61	20000	131.33	188301.52	1116.05	2.84	1.72	5.19	52.93	39	93
小猪理财	2363	734	94	14	1	115	2000	37.91	47903.19	772.09	12.7	3.22	4.98	25.14	22	0
钱爸爸	2334.5	724	8	9.13	1.14	17	5000	254.84	97541.92	510.78	6.24	3.22	19.24	291.81	44	0
融金所	2292.45	1901	105	12.12	10.06	105	3000	6.45	195627.37	544.61	6.24	1.21	7.36	21.83	44	86
博金贷	2185.08	3784	34	7.51	1.68	90	6480	240.63	89587.05	1440.87	11.93	0.58	50.61	64.27	28	45
爱钱帮	2167.87	924	86	9.57	2.05	92	1217	24.51	129050.96	752.93	42.71	2.35	19.33	25.21	33	0
金融圈	2087.27	1047	1	9.4	6.67	10	20000	1191.09	174571.58	965.62	5.88	1.99	100	2087.27	27	0
新新贷	1995.79	2627	25	7.44	3.61	42	5000	0.94	95115.21	1719.2	11.1	0.76	29.32	79.83	59	0
共信赢	1985	146	1	11.77	5.82	10	10000	1188.58	210291.67	557.52	35.43	13.6	100	1985	34	0
小诺理财	1940.89	1919	1320	8.54	4.95	109	10000	21.73	342009.85	952.5	2.24	1.01	2.34	1.47	14	66
隆金宝	1914.99	39	1	8.57	4.92	65	14750	65.49	174672.38	1608.49	76.29	49.1	100	1914.99	32	0
钜宝盆	1766.3	134	199	8	35.87	199	10000	2.98	618042	1300.02	9.92	13.18	14.59	8.88	20	0
银湖网	1757.31	769	312	11.87	10.79	18	20000	362.7	329006.63	683.81	4.38	2.29	28.41	5.63	30	47
友金所	1750.6	28247	78	9	34.35	78	6000	2.12	298804.33	1643.29	4.52	0.06	0.27	22.44	27	37
人众金服	1744.11	1099	16	10.62	3.24	31	6250	327.45	94268.98	802.37	4.17	1.59	48.14	109.01	45	0
口贷网	1650	406	8	14.33	3.88	20	5500	161.02	120445.33	1737.67	4.62	4.06	34.04	206.25	72	60
多赢	1640	596	4	10.12	0.96	20	5000	69.82	48146.7	42.42	5.21	2.75	23.6	410	25	0
地标金融	1620	561	2	10.26	1	18	10000	191.77	39181.29	602.77	9.15	2.89	72.1	810	39	0
365易贷	1615.77	1458	141	9.32	2.96	533	30308	44.06	115783.4	460.6	6.02	1.11	10.14	11.46	83	0
广信贷	1606.13	1027	38	10.59	4.71	44	5000	5.25	133562.82	317.15	3.57	1.56	11.01	42.27	48	96
中瑞财富	1601	446	11	7.02	1.43	15	12500	271.2	65739.26	-1045.54	7.05	3.59	87.23	145.55	32	0
汇盈金服	1597.8	405	12	9.81	3.63	28	5000	175.14	194704.35	815.82	5.63	3.95	7.02	133.15	37	91
积木盒子	1533.06	2202	18458	6.93	1.44	18458	20000	0.1	321764.13	-1450.23	3.5	0.7	5.35	0.08	41	14
来存吧	1530.29	239	1	9.62	2.26	9	1000	1566.97	57405.69	1065.84	7.45	6.4	100	1530.29	10	0
汇理财	1515.48	203	3	11.38	6.08	35	5000	803.05	135084.96	-1291.92	7.5	7.47	100	505.16	30	0
银豆网	1500	754	1	13	12.66	5	8000	162.17	141047.08	1166.65	5.57	1.99	18.05	1500	36	40
理想宝	1440.25	715	12	10.51	3.46	36	500	45.36	100692.57	140.35	8.27	2.01	58.49	120.02	32	41
联连理财	1431.23	708	3158	12.15	4.48	6786	5000	3.04	27422.82	567.58	13.99	2.02	73.42	0.45	13	0
花生米富	1404.65	517	15	14.87	0.99	90	1000	0	28157.76	119.97	10.27	2.72	99.66	93.64	6	0
金融工场	1400	789	4	8.13	3.63	14	5000	188.37	237928.96	711.26	4.31	1.77	28.43	350	54	0
诺诺镑客	1395.31	9941	2130	11.85	19.68	2133	10800	0.3	575453.01	151.68	23.47	0.14	0.05	0.66	91	29
邦帮堂	1373.5	665	6	7.73	5.69	11	10000	812.63	236080.6	1430.11	5.07	2.07	25.57	228.92	27	0
钱多多	1340	992	2	11.98	4.73	4	11000	331.32	224697.73	493.41	6.7	1.35	78.06	670	39	0
元宝365	1339.01	1033	156	11.13	1.55	157	5000	170.11	39424.28	498.6	5.82	1.3	9.21	8.58	26	58
新升贷	1335.59	107	176	14.03	2.68	176	5000	0	57723.21	-9.78	85.92	12.48	1.31	7.59	21	0
迷你贷	1319	971	35	11.97	1.56	46	2000	0.7	34098.51	672.84	8.79	1.36	18.51	37.69	38	0
易港金融	1301.97	725	116	11.51	4.1	121	6000	56.41	29214.7	-28.08	22.89	1.8	3.72	11.22	26	49
小赢理财	1248.96	871	167	7.75	8.99	365	3938	12.79	456164.94	-1454.57	4.23	1.43	37.41	7.48	29	34
淘淘金	1211	437	2	8.01	4.33	15	5000	251.91	100077.25	633.48	13.65	2.77	100	605.5	27	0
新联在线	1180	527	13	10.97	1.95	13	7000	389.97	66286.56	146.19	5.96	2.24	3.15	44.62	42	57
温州贷	1167.13	568	57	9.21	1.58	237	5000	50.87	26520.36	424.44	12.14	2.05	49.54	20.48	59	0
海金所	1150	326	9	9.03	4.07	23	1200	777.23	33764.75	880.74	13.04	3.53	29.86	127.78	22	0
招商贷	1150	846	6	10.5	4.13	9	11111	174.49	142295.02	253.44	6.81	1.36	27.26	191.67	43	0
珠宝贷	1107.01	701	12	10.28	1.56	17	43000	1.55	103987.7	-28.22	12.41	1.58	29.93	92.25	28	28
大麦理财	1100	502	15	9.84	4.99	15	3000	509.84	79269.72	824.03	6.92	2.19	31.67	73.33	27	81
冠e通	1047	592	8	10.08	10.07	11	10000	18.47	745456.94	-1368.25	1.16	1.77	7.26	130.88	18	0
聚有财	1042.05	149	10	8.62	15.72	30	3000	168.97	135089.59	948.6	23.15	6.99	68.94	104.21	32	0
和信贷	1020.77	654	26	12.67	12.06	26	10527	83.83	246815.28	531.71	2.69	1.56	2.56	39.26	41	42
君融贷	1020	936	3	10.91	6.59	34	2000	722.23	157588.84	611.36	5.04	1.09	100	340	27	0
新城金融	1000.3	139	3	6.08	4.19	9	10000	106.98	78320.86	468.06	14.52	7.2	87.18	333.43	13	0
投融家	989.32	765	61	11.18	3.61	61	5000	395.81	97763.65	786.64	2.1	1.29	46.41	16.22	12	0
万盈金融	969.22	511	42	13.43	14.08	140	10000	38.65	93491.26	886.5	10.01	1.9	56.31	23.08	20	82
普惠家	911	225	81	11.06	18.74	81	6000	0.44	178567.15	998.4	5.64	4.05	11.2	11.25	16	0
有融网	900	1079	9	11.3	3.33	18	5000	150.82	84583.82	-180.34	4.84	0.83	71.97	100	26	0
光大分利宝	882.55	453	4	8.96	2.85	4850	20000	1.15	45579.01	409.59	45.99	1.95	33.58	220.64	16	0
领投鸟理财	857.11	715	1	8.56	1.28	18	5000	670.46	22403.42	588.7	12.14	1.2	100	857.11	12	0
道口贷	845.51	417	10	8.61	3.91	10	1282	16.92	112766.97	225.41	7.16	2.03	17.22	84.55	25	67
银票网	840	443	1	8.36	2.28	11	10000	552.94	59534.82	458.58	8.61	1.9	100	840	29	0
可溯金融	804.17	1040	38	8.78	2.38	39	5000	45.59	50870.34	266.93	7.04	0.77	11.94	21.16	28	68
理财范	800.08	785	2	10.5	6.93	10	12567	130.97	289870.27	-599.79	2.71	1.02	49.6	400.04	34	61
铜掌柜	799.93	598	4	9.99	7.35	16	3158	132.59	146801.03	-922.62	3.52	1.34	8.08	199.98	27	0
小九金服	791.8	96	133	12.29	1.89	133	3001	43.68	33385.21	277.02	92.29	8.25	1.79	5.95	15	0
壹佰金融	773.65	246	17	11.97	10.14	20	5000	19.46	79518.09	442.43	2.51	3.14	18.2	45.51	19	0
多多理财	767.31	1375	48	13.35	3.41	56	10000	294.07	54816.8	224.56	6.3	0.56	43.12	15.99	20	0
一起好	762.67	524	82	12.98	7.8	83	2010	21.74	106745.64	47.96	6.43	1.46	1.13	9.3	52	0
钱香	748	257	4	10.26	2.82	10	1600	138.35	26388.54	526.15	50.84	2.91	20.63	187	20	0
金盈所	726	271	4	9.07	6.29	22	5000	495.98	64004.4	393.05	6.64	2.68	100	181.5	8	0
多融财富	720	346	5	8.23	2.01	19	10000	480.25	33321.15	436.68	7.75	2.08	100	144	10	0
小鸡理财	719.95	441	14	6.78	1.64	15	6000	5977.1	19953.3	672.96	11.85	1.63	96.93	51.43	28	0
乐居财富	717	604	7	14.3	5.12	19	5000	36.74	80289.33	131.07	7.2	1.19	8.51	102.43	26	0
资本在线	715	184	6	13.1	3.34	11	5000	23.89	17694.63	626.2	16.86	3.89	21.84	119.17	40	0
联金所	714.7	339	148	12.89	28	373	6800	179.71	46414.93	77.92	39.71	2.11	0.58	4.83	38	31
礼德财富	712	630	7	12.99	5.25	8	10000	279.5	91145.29	237.05	3.97	1.13	10.62	101.71	41	76
图腾贷	711.93	759	444	13.48	5.19	449	1000	33.06	51742.27	145.58	12.4	0.94	3.63	1.6	28	0
融贝网	708.15	604	41	9.72	5.2	42	1213	85.29	86048.76	334.64	6.66	1.17	2.14	17.27	34	63
企额贷	704	86	3	13.5	6.01	4	5000	9.57	30879.9	695.7	20.12	8.19	34.79	234.67	33	0
金桥梁	697.07	297	57	13.39	1.31	57	1000	17.83	21522.43	118.33	12.57	2.35	5.1	12.23	34	0
祺天优贷	673	476	1	10.8	1.68	14	20000	468.4	50838.01	347.36	11.86	1.41	96.25	673	24	0
互融宝	650	439	5	11.92	3.93	7	6000	1.22	93665.93	-750.24	7.48	1.48	35.18	130	32	0
宜聚网	634.32	457	40	11.48	2.32	40	5000	207.81	63490.95	134.51	8.17	1.39	13.74	15.86	45	0
金投手	626	232	4	8.1	2.99	11	5000	1204.12	25700.1	-391.89	6.08	2.7	100	156.5	19	0
诚信贷	625.89	263	4	15.4	2.95	13	10000	216.04	49418.96	451.72	7.67	2.38	83.65	156.47	26	0
九斗鱼	623	1005	5	9.48	1.58	5	6000	819.21	51420.03	312.88	5.05	0.62	12.15	124.6	35	0
城城理财	622	626	6	11.49	3.17	15	20000	423.53	134087.34	14.36	3.41	0.99	96.83	103.67	44	0
安捷财富	619	1541	9	13.94	10.15	9	20000	622.99	162378.37	248.03	3.84	0.4	67.62	68.78	30	0
知商金融	613.36	233	27	9.47	2.97	46	10000	573.63	64323.49	-369.94	7.64	2.63	24.49	22.72	19	0
恒信易贷	607.7	159	93	15.22	6.35	93	4000	41.25	45588.19	135.11	7.14	3.82	1.14	6.53	37	50
连资贷	589.45	197	55	8	0.95	55	1075	0.11	28441.63	-364.54	21.42	2.99	24.46	10.72	28	0
丁丁贷	579.58	648	80	14.2	3.56	81	5000	11.96	50758.79	-43.17	6.4	0.89	3.99	7.24	42	0
抱财网	575.13	332	21	12.14	7.23	65	5000	59.24	107942.11	414.98	4.23	1.73	35.66	27.39	35	36
华赢贷	574.9	103	7	12.38	1.96	20	5000	155.38	43130.55	20.65	31.44	5.58	37.63	82.13	21	0
拓道金服	563.85	438	79	10.99	3.14	79	5000	13.75	46307.64	-37.17	19.82	1.29	2.03	7.14	37	52
玖融网	561.97	358	42	10.51	5.73	44	2500	15.04	43154.53	280.64	15.15	1.57	3.88	13.38	42	88
国泰·惠民益贷	550.81	578	3	10.69	2.99	9	10000	920.6	33198.88	137.07	15.37	0.95	100	183.6	21	0
粤商贷	550.8	302	8	12.43	2	10	5000	56.09	30308.67	-98.6	10.23	1.82	62.43	68.85	37	0
集利财富	550	65	12	8.46	6.09	12	10000	13.02	20336.79	513.53	24.39	8.46	79.99	45.83	41	0
好好理财	550	259	10	13.51	8.47	15	5000	311.36	36794.76	454.07	5.53	2.12	20.77	55	20	0
爱米理财	534.8	259	14	9.66	2.92	16	5000	62.24	33344.17	63.86	7.53	2.06	18.25	38.2	15	0
石投金融	527	252	6	7.63	2.4	30	5555	192.71	116779.36	-623.88	63.29	2.09	90.71	87.83	32	94
聚车金融	523.3	84	19	12.34	0.99	24	1000	16.7	8451.29	610.21	25.29	6.23	43.66	27.54	24	0
