platName	amount	bidderNum	borrowerNum	incomeRate	loanPeriod	totalLoanNum	regCapital	fullloanTime	stayStillOfTotal	netInflowOfThirty	top10DueInProportion	avgBidMoney	top10StayStillProportion	avgBorrowMoney	timeOperation	developZhishu
惠众金融	57.56	71	11	13.56	3.75	11	5000	4.98	6458.16	36.22	18.02	0.81	46.84	5.23	46	0
乾贷网	57.23	22	13	10.04	8.4	22	1000	0	74683.43	-14.43	6.3	2.6	33.56	4.4	39	0
隆泰贷	56	16	8	19.96	2.82	8	1000	1.52	3070.92	6.46	48.83	3.5	42.2	7	33	0
满满贷	55	22	1	19.27	5.45	4	5000	506.75	2593.3	58.8	24.28	2.5	100	55	48	0
量子金融	53.98	50	8	14.49	2.41	8	1000	1.26	2360.83	30.88	7.63	1.08	15.47	6.75	24	0
瑞银创投	53	38	2	15.89	11.43	2	1550	733.43	14176.32	8.75	44.55	1.39	40.33	26.5	65	0
钱道网	50	22	1	13	6.42	1	5000	0.03	9436.9	50.69	20.1	2.27	6.21	50	25	0
易BANK	50	19	1	10.3	4.15	1	1000	1911.93	5352.63	-53.56	53.15	2.63	100	50	22	0
财来网	50	13	1	9	6	1	1000	5.52	11301.11	49.76	56.45	3.85	32.15	50	23	0
长久贷	50	36	2	16.78	4	2	6000	526.78	6434.49	0.66	40.01	1.39	24.5	25	31	0
易互贷	50	23	1	18	0.83	1	5000	753.12	4022.42	-0.48	64.42	2.17	100	50	43	0
禾泰财富	50	6	1	11.8	3	1	1000	1121.08	7920.73	49.63	58.97	8.33	91.24	50	37	0
融通资产	50	2	1	10	1	1	2000	0.02	20234.94	46.54	18.93	25	43.68	50	36	0
融投贷	50	22	1	12	6	1	3000	1282.38	5607.29	454.84	15.32	2.27	25.21	50	32	0
私房钱	50	48	1	15	6	1	1000	901.12	22347.08	-55.2	21.65	1.04	61.57	50	28	0
车财网	48	17	5	14	1.96	5	5000	24.09	4593.89	38.29	7.97	2.82	17.61	9.6	15	0
财富N次方	47	38	1	12	0.99	3	10000	569.27	851.6	48.41	40.72	1.24	100	47	25	0
皖乾商贷	47	41	7	17.49	8.36	10	5000	116.74	8913.72	24.65	32.74	1.15	37.44	6.71	22	0
亿信天合	46.66	18	1	14	0.51	6	1000	29.18	353.76	38.32	87.97	2.59	100	46.66	29	0
前海广深发	46.4	67	3	14.4	4.93	6	5000	217.32	7795.28	22.07	14.34	0.69	55.36	15.47	20	0
四海众投	45.4	25	4	9.31	1.17	7	5000	183.24	3244.56	-6.49	18.58	1.82	46.13	11.35	18	0
赣商贷	45	19	2	16.67	2.67	6	2000	226.3	3333.14	4.42	44.27	2.37	49.69	22.5	35	0
金开贷	45	16	1	7.2	1	1	8000	5.22	65035.21	24.72	5.73	2.81	25.27	45	32	38
牛娃互联网金融	44.22	122	373	13.67	1.71	378	30000	0	1928.02	16.17	25.38	0.36	0.87	0.12	20	0
快捷财富	43.5	21	4	18.61	2.6	6	5000	141.23	1574.93	44.51	44.54	2.07	78.28	10.88	19	0
大众贷	43	30	2	15	7.95	2	1050	1511.5	6827.39	26.28	32.69	1.43	4.68	21.5	33	0
利好贷	43	72	3	14	4.51	3	1500	1.86	3695.03	1.64	22.26	0.6	11.14	14.33	36	0
